Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-January-2023,2139.0,2139.0,2073.85,2125.1,2100.9516845221315,85128,8749,178849815.0,30831,36.22,65.15,-13.9
1-February-2023,2141.55,2215.0,2081.95,2144.55,2159.121642900692,455974,18074,984503332.0,293825,64.44,133.05,3.0
2-February-2023,2140.0,2166.0,2108.45,2145.6,2132.328719325617,165366,6427,352614671.0,112251,67.88,57.55,5.6
3-February-2023,2160.05,2186.15,2131.25,2166.8,2156.428828828829,64935,6222,140027706.0,20720,31.91,54.9,6.75
6-February-2023,2173.85,2180.75,2142.05,2154.85,2160.463678996985,41794,4360,90294419.0,14553,34.82,38.7,-19.0
7-February-2023,2169.95,2171.25,2150.5,2165.9,2161.209507566529,36939,4323,79832918.0,20348,55.09,20.75,-4.05
8-February-2023,2157.0,2175.0,2126.9,2130.75,2142.813837720182,49618,5134,106322137.0,21493,43.32,48.1,-26.25
9-February-2023,2150.0,2151.6,2137.0,2146.6,2145.5772327279533,32046,3305,68757168.0,11251,35.11,14.6,-3.4
10-February-2023,2144.8,2168.9,2137.8,2162.95,2156.9319226379594,32419,2868,69925576.0,13341,41.15,31.1,18.15
13-February-2023,2165.4,2210.5,2160.2,2203.7,2197.3016253356045,103917,6164,228336993.0,68562,65.98,50.3,38.3
14-February-2023,2207.5,2215.5,2181.35,2189.1,2196.1764179896186,131965,9008,289818421.0,108692,82.36,34.15,-18.4
15-February-2023,2185.0,2186.9,2157.3,2175.2,2171.341480809129,46272,3102,100472313.0,21813,47.14,29.6,-9.8
16-February-2023,2192.45,2201.9,2171.9,2179.15,2182.4224157025774,234764,8332,512354216.0,190469,81.13,30.0,-13.3
17-February-2023,2175.0,2249.0,2159.0,2226.7,2226.3587817103667,183142,13665,407739800.0,102196,55.8,90.0,51.7
20-February-2023,2246.9,2251.75,2214.9,2225.15,2233.478499889419,63302,5494,141383656.0,26163,41.33,36.85,-21.75
21-February-2023,2227.0,2261.6,2223.7,2228.4,2243.5839369484333,111274,6898,249652559.0,81049,72.84,37.9,1.4
22-February-2023,2228.0,2241.0,2183.0,2190.4,2209.6613928602246,69526,5002,153628918.0,35922,51.67,58.0,-37.6
23-February-2023,2200.0,2208.0,2155.0,2159.8,2174.6743308083883,41057,5163,89285604.0,24621,59.97,53.0,-40.2
24-February-2023,2158.7,2172.7,2118.95,2133.85,2144.739438119808,42251,5647,90617386.0,14512,34.35,53.75,-24.85
27-February-2023,2133.85,2139.0,2083.05,2113.35,2106.326891787028,79898,6798,168291306.0,56669,70.93,55.95,-20.5
28-February-2023,2119.65,2138.0,2086.0,2105.95,2111.5399561362865,64746,3778,136713766.0,40082,61.91,52.0,-13.7
