Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-June-2026,380.95,391.05,380.0,388.0,388.31270850801315,733485,5880,284821547.0,455023,62.04,11.05,7.05
9-June-2026,380.6,382.3,377.7,381.75,380.0188369652091,1038490,4883,394645762.0,704626,67.85,4.6,1.15
8-June-2026,373.25,378.7,373.0,377.15,376.52044643478166,373806,4134,140745602.0,254159,67.99,5.7,3.9
5-June-2026,381.3,383.4,374.8,377.5,380.3715548847484,345852,2514,131552263.0,254958,73.72,8.6,-3.8
4-June-2026,378.4,384.0,377.75,381.35,382.0529283276609,1724124,18941,658706623.0,1238609,71.84,6.25,2.95
3-June-2026,378.95,383.1,375.05,381.35,378.96450716271113,144987,3869,54944927.0,57367,39.57,8.05,2.4
2-June-2026,373.0,381.55,372.05,378.95,379.1810365641561,244365,1906,92658574.0,165925,67.9,9.5,5.95
1-June-2026,383.0,386.85,375.7,377.2,380.9311810833634,414450,5897,157876928.0,218688,52.77,11.15,-5.8
29-May-2026,391.55,392.5,381.75,384.7,386.1961015883516,640979,7731,247543591.0,198091,30.9,10.75,-6.85
27-May-2026,387.05,390.55,386.75,388.35,388.6525976794314,1172816,22158,455817985.0,233037,19.87,3.8,1.3
26-May-2026,392.5,394.9,387.0,388.7,388.8147089292637,771273,15450,299882287.0,452681,58.69,7.9,-3.8
25-May-2026,387.0,395.0,387.0,392.75,391.60315239710894,2218756,12459,868871844.0,1957084,88.21,8.0,5.75
22-May-2026,382.35,386.2,381.5,384.2,384.77710609002713,573183,6873,220547696.0,395115,68.93,4.7,1.85
21-May-2026,385.0,386.6,377.95,380.75,381.4944558956841,1519001,22770,579490460.0,371563,24.46,8.65,-4.25
20-May-2026,377.0,384.05,376.05,383.15,381.25964885746765,1163687,18571,443666897.0,887038,76.23,8.0,6.15
