Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-June-2026,2169.3,2169.3,2135.05,2139.4,2148.0143477800148,47185,5915,101354057.0,32643,69.18,34.25,-29.9
10-June-2026,2135.0,2204.8,2133.05,2169.3,2185.508000882566,190354,12547,416020190.0,102461,53.83,71.75,34.3
9-June-2026,2116.05,2137.9,2110.0,2133.0,2124.9509759539847,37553,4727,79798284.0,18000,47.93,27.9,16.95
8-June-2026,2119.7,2124.0,2090.8,2109.2,2106.6137443055154,41268,3335,86935736.0,19122,46.34,33.2,-10.5
5-June-2026,2089.15,2126.0,2078.0,2120.8,2104.589618815896,38223,3872,80443729.0,16539,43.27,48.0,31.65
4-June-2026,2081.9,2110.0,2074.0,2078.1,2094.341853209408,91668,10033,191984129.0,40847,44.56,36.0,-3.8
3-June-2026,2085.9,2099.0,2072.5,2091.15,2084.9947806794207,54988,4629,114649693.0,24640,44.81,26.5,5.25
2-June-2026,2084.95,2097.2,2066.05,2094.75,2086.269664596273,120750,7519,251917062.0,89437,74.07,31.15,9.8
1-June-2026,2174.05,2174.05,2081.0,2085.15,2112.9589796694704,47318,4405,99980993.0,28055,59.29,93.05,-88.9
29-May-2026,2177.75,2207.0,2117.1,2145.95,2154.4358297236745,167375,5686,360598697.0,87272,52.14,89.9,-31.8
27-May-2026,2205.0,2215.3,2187.35,2197.85,2199.2835045145725,112746,10775,247960418.0,64914,57.58,27.95,-7.15
26-May-2026,2197.6,2217.5,2191.75,2209.55,2206.4195829189457,64352,3638,141987513.0,30477,47.36,25.75,11.95
25-May-2026,2223.95,2237.0,2193.2,2197.45,2213.6831833210877,21776,1819,48205165.0,10321,47.4,43.8,-26.5
22-May-2026,2181.0,2223.45,2175.35,2202.0,2202.3073801761807,28834,1698,63501331.0,14973,51.93,48.1,21.0
21-May-2026,2220.0,2225.45,2175.8,2178.8,2195.195484477893,100985,7721,221681816.0,27381,27.11,49.65,-41.2
