Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-June-2026,996.1,1009.5,993.0,1000.65,1003.0910059386624,1045690,28556,1048922234.0,395468,37.82,16.5,4.55
10-June-2026,1002.0,1012.4,999.35,1003.3,1007.3157143766819,848026,23673,854229916.0,484666,57.15,13.05,1.3
9-June-2026,985.9,1009.0,983.1,1002.85,998.8226621357178,901945,27463,900883106.0,535681,59.39,25.9,16.95
8-June-2026,965.1,988.7,965.1,981.9,981.0172660220984,802501,26052,787267337.0,456220,56.85,23.6,16.8
5-June-2026,979.65,992.4,970.8,977.75,979.9497198009066,2929881,26818,2871136065.0,2107510,71.93,21.6,-1.9
4-June-2026,965.15,985.8,961.55,979.65,979.067314641902,1741939,42627,1705475539.0,1013718,58.19,24.25,14.5
3-June-2026,954.0,974.0,937.25,971.0,950.3297344050183,1113387,28917,1058084772.0,606491,54.47,36.75,17.0
2-June-2026,953.55,961.5,940.0,957.3,951.4854509604095,677055,23491,644207982.0,365533,53.99,21.5,3.75
1-June-2026,967.95,969.75,950.05,954.0,959.1650569343558,237203,9227,227516829.0,120419,50.77,19.7,-13.95
29-May-2026,973.35,973.7,960.3,964.0,966.1299131058877,390130,10858,376916263.0,209365,53.67,13.4,-9.35
27-May-2026,968.6,975.9,966.05,967.65,969.7019606309789,1585663,42242,1537620520.0,341693,21.55,9.85,-0.95
26-May-2026,968.15,978.45,962.3,968.6,970.0845222381766,879591,20208,853277615.0,513941,58.43,16.15,0.45
25-May-2026,962.35,972.9,957.55,969.9,963.3977203592749,639399,21223,615995539.0,361812,56.59,15.35,7.55
22-May-2026,951.95,958.5,947.7,949.1,952.8975236854216,632351,20109,602565702.0,337861,53.43,10.8,-2.85
21-May-2026,956.0,961.4,946.45,951.05,953.1575889112371,1849007,43831,1762395054.0,663832,35.9,14.95,-4.95
20-May-2026,944.35,954.7,935.2,951.25,945.8456859637768,588741,18811,556858135.0,208036,35.34,19.5,6.9
19-May-2026,941.1,956.45,939.9,948.5,947.285462177527,926473,32209,877634404.0,462975,49.97,16.55,7.4
18-May-2026,956.9,956.9,933.85,940.0,940.5385515951722,882350,29822,829884191.0,409119,46.37,23.05,-16.9
15-May-2026,972.5,972.5,957.4,962.95,966.6480999618784,1083373,25397,1047240452.0,548466,50.63,15.1,-9.55
14-May-2026,974.0,987.0,963.7,979.55,978.6373082150536,2177113,47649,2130604006.0,601907,27.65,23.3,5.55
