Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
05-July-2021,1571.75,1585.0,1563.1,1579.1,1573.7820984170955,175437,8110,276099610.0,103693,59.11,21.9,7.35
06-July-2021,1575.9,1586.7,1557.0,1562.5,1575.1130552331274,209349,13745,329748343.0,85586,40.88,29.7,-13.4
07-July-2021,1568.0,1570.7,1544.65,1563.8,1559.9101790350317,266931,18065,416388384.0,131134,49.13,26.05,-4.2
08-July-2021,1569.0,1576.0,1549.15,1560.5,1559.5931376414462,101452,4272,158223843.0,31037,30.59,26.85,-8.5
09-July-2021,1557.0,1569.85,1550.0,1562.75,1556.5934849320088,665749,3789,1036300556.0,580200,87.15,19.85,5.75
12-July-2021,1572.0,1577.6,1535.0,1547.95,1562.0186258856586,1617158,8198,2526030917.0,1509504,93.34,42.6,-24.05
13-July-2021,1559.0,1559.0,1536.0,1544.9,1542.6085628693656,171578,11597,264677692.0,78757,45.9,23.0,-14.1
14-July-2021,1550.4,1582.4,1538.25,1576.9,1561.617276749356,181724,7258,283783338.0,46474,25.57,44.15,26.5
15-July-2021,1554.0,1597.25,1551.25,1580.3,1581.9452963513481,344456,14762,544910549.0,127357,36.97,46.0,26.3
16-July-2021,1580.0,1580.0,1550.0,1555.0,1559.4916200091784,272375,12643,424766530.0,137098,50.33,30.0,-25.0
19-July-2021,1551.0,1553.3,1537.4,1541.8,1553.829050575752,1632126,15792,2536044793.0,1540307,94.37,15.9,-9.2
20-July-2021,1538.0,1557.5,1538.0,1549.7,1545.7878268199925,310798,14204,480427765.0,149863,48.22,19.5,11.7
22-July-2021,1556.0,1593.1,1556.0,1590.2,1583.9523934227393,435318,9239,689522988.0,326017,74.89,37.1,34.2
23-July-2021,1590.0,1598.7,1586.1,1590.35,1589.9077942632755,698796,8913,1111021207.0,548177,78.45,12.6,0.35
26-July-2021,1590.45,1611.8,1590.45,1604.05,1606.245506533296,154057,9233,247453364.0,78799,51.15,21.35,13.6
27-July-2021,1605.0,1608.9,1598.1,1602.6,1602.8228491404163,157809,10337,252939871.0,84004,53.23,10.8,-2.4
28-July-2021,1604.3,1607.4,1585.7,1605.3,1595.5466755970708,222461,12087,354946909.0,87349,39.26,21.7,1.0
29-July-2021,1610.0,1620.0,1605.35,1616.85,1614.7033838111201,105591,6864,170498145.0,56994,53.98,14.65,6.85
30-July-2021,1616.85,1623.45,1606.1,1610.25,1613.404545967287,88650,4810,143028313.0,44976,50.73,17.35,-6.6
02-August-2021,1620.0,1634.9,1620.0,1631.35,1627.4894407389963,131638,8548,214239455.0,76819,58.36,14.9,11.35
03-August-2021,1641.0,1658.7,1636.4,1654.1,1645.695957423663,119503,7332,196665604.0,55763,46.66,22.3,13.1
04-August-2021,1665.2,1680.0,1639.35,1649.15,1652.129098208422,336519,9658,555972832.0,272048,80.84,40.65,-16.05
05-August-2021,1651.0,1666.25,1647.05,1654.85,1656.2210704066795,106595,8470,176544885.0,57028,53.5,19.2,3.85
06-August-2021,1660.1,1660.75,1644.1,1650.35,1652.68286233366,105131,9625,173748202.0,53402,50.8,16.65,-9.75
09-August-2021,1656.4,1667.4,1646.5,1663.0,1650.5309129641928,4505456,9319,7436394405.0,4432612,98.38,20.9,6.6
10-August-2021,1670.0,1680.0,1661.8,1676.35,1673.8602471320075,106259,7093,177862716.0,58074,54.65,18.2,6.35
11-August-2021,1676.35,1684.0,1668.3,1677.45,1675.5452063106795,95584,6977,160155313.0,44373,46.42,15.7,1.1
12-August-2021,1678.0,1696.2,1674.55,1690.5,1688.0702610046217,105592,6242,178246715.0,45589,43.17,21.65,12.5
13-August-2021,1699.0,1722.0,1691.45,1712.5,1708.3416112671503,247445,15270,422720590.0,133687,54.03,30.55,13.5
16-August-2021,1711.6,1720.0,1690.3,1704.75,1704.8642924380295,191220,13533,326004150.0,83060,43.44,29.7,-6.85
17-August-2021,1704.4,1748.45,1687.9,1741.45,1728.7209945816417,337187,18846,582902246.0,163378,48.45,60.55,37.05
18-August-2021,1735.0,1755.0,1727.0,1733.35,1739.923385902872,179001,11870,311448026.0,68256,38.13,28.0,-1.65
20-August-2021,1724.95,1745.0,1719.5,1732.15,1734.788022184096,125315,8924,217394961.0,46641,37.22,25.5,7.2
23-August-2021,1733.05,1752.8,1731.75,1739.2,1741.6941458804972,147093,8332,256191017.0,58389,39.7,21.05,6.15
24-August-2021,1748.0,1755.6,1712.5,1720.75,1729.956883137434,227498,15499,393561731.0,116552,51.23,43.1,-27.25
25-August-2021,1715.2,1746.35,1715.2,1737.2,1732.1570363934095,119692,7276,207325340.0,45347,37.89,31.15,22.0
26-August-2021,1736.0,1746.0,1720.0,1726.95,1734.406957220556,139366,9056,241717360.0,58636,42.07,26.0,-9.05
27-August-2021,1722.0,1728.4,1705.0,1708.45,1713.47736257785,110790,8846,189836157.0,50885,45.93,23.4,-13.55
30-August-2021,1704.8,1718.8,1690.35,1697.85,1702.8691906226932,153093,12517,260697353.0,74531,48.68,28.45,-6.95
31-August-2021,1700.1,1714.75,1686.1,1704.15,1698.0554924254557,780575,11039,1325459666.0,687548,88.08,28.65,4.05
01-September-2021,1712.0,1713.0,1673.05,1677.35,1684.178598510424,192538,12865,324268379.0,101170,52.55,39.95,-34.65
02-September-2021,1677.45,1694.7,1663.0,1688.45,1671.70695057938,252425,10273,421980627.0,162710,64.46,31.7,11.0
03-September-2021,1697.0,1706.05,1685.3,1700.3,1698.0394291946918,110020,6978,186818298.0,46195,41.99,20.75,3.3
06-September-2021,1707.0,1732.0,1700.0,1730.0,1713.528712871287,144430,6993,247484952.0,73111,50.62,32.0,23.0
07-September-2021,1732.0,1735.0,1704.75,1706.5,1713.294355776345,94610,5305,162094779.0,40456,42.76,30.25,-25.5
08-September-2021,1704.45,1704.45,1683.5,1693.0,1692.5690166112201,88073,5303,149069631.0,37723,42.83,20.95,-11.45
09-September-2021,1687.9,1694.95,1682.2,1691.8,1688.1374952746123,55551,3370,93777726.0,23347,42.03,12.75,3.9
13-September-2021,1688.0,1701.0,1675.0,1691.0,1688.840431651822,151233,12245,255408405.0,73924,48.88,26.0,3.0
14-September-2021,1697.9,1697.9,1679.65,1685.9,1688.866197291356,65051,4163,109862435.0,35040,53.87,18.25,-12.0
15-September-2021,1696.7,1716.4,1687.3,1711.1,1705.416974733433,98193,4465,167460009.0,41399,42.16,29.1,14.4
16-September-2021,1715.0,1722.0,1691.6,1702.35,1700.7247176827027,87136,4368,148194349.0,42174,48.4,30.4,-12.65
17-September-2021,1701.5,1717.9,1685.3,1691.3,1704.451784064492,434037,14165,739795139.0,311039,71.66,32.6,-10.2
20-September-2021,1685.0,1707.65,1678.25,1687.85,1695.4033801394792,170348,12006,288808575.0,69533,40.82,29.4,2.85
21-September-2021,1692.3,1726.0,1685.0,1717.7,1708.18070176624,295996,15422,505614655.0,183355,61.94,41.0,25.4
22-September-2021,1718.0,1738.75,1713.05,1716.65,1726.3197149266473,100746,4238,173919806.0,33976,33.72,25.7,-1.35
23-September-2021,1732.15,1745.0,1722.3,1741.7,1717.4500209099792,3302251,4446,5671451049.0,3247378,98.34,22.7,9.55
24-September-2021,1759.0,1787.5,1752.2,1763.45,1773.2528386549563,182745,8519,324053090.0,57855,31.66,35.3,4.45
27-September-2021,1770.85,1770.85,1719.0,1721.95,1736.25195035461,146640,8797,254603986.0,78915,53.82,51.85,-48.9
