Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-December-2025,4055.60,4109.00,4048.05,4073.70,4079.086751460983155723,145450,12461,593303168.00,89274,61.38,60.95,18.10
11-December-2025,3989.10,4014.85,3985.55,4005.20,4003.758741648727929776,358628,33463,1435859990.00,36235,10.10,29.30,16.10
10-December-2025,4000.00,4030.00,3968.85,3989.05,4003.795796801270770716,128426,26093,514191479.00,32430,25.25,61.15,-10.95
9-December-2025,3969.55,4017.00,3948.05,3998.10,3986.497815277987042338,39822,4055,158750316.00,16106,40.44,68.95,28.55
8-December-2025,4045.00,4045.90,3978.05,3995.70,4006.126143003702216869,22419,2713,89813342.00,9875,44.05,67.85,-49.30
5-December-2025,3999.00,4047.25,3976.75,4038.00,4018.428076691427424212,59772,8071,240189483.00,24770,41.44,70.50,39.00
4-December-2025,3989.15,4009.85,3963.10,3985.00,3990.588794170873416515,419960,48778,1675887670.00,67164,15.99,46.75,-4.15
3-December-2025,4048.65,4048.65,3970.00,3987.45,3998.078751412352468724,73459,8507,293694867.00,15644,21.30,78.65,-61.20
2-December-2025,4071.10,4085.95,4026.10,4030.80,4048.926369119420989143,20725,2184,83913999.00,10542,50.87,59.85,-40.30
1-December-2025,4099.80,4103.00,4050.50,4071.10,4065.452768446658172130,34532,2821,140388215.00,24413,70.70,52.50,-28.70
28-November-2025,4093.95,4103.60,4055.00,4068.50,4071.610660707068305556,42061,5096,171256016.00,27859,66.23,48.60,-25.45
27-November-2025,4063.45,4139.00,4061.10,4082.05,4091.267970958381729091,480414,37780,1965502411.00,109758,22.85,77.90,18.60
26-November-2025,4002.90,4075.55,4000.00,4061.10,4053.099487606448860862,194577,19935,788639939.00,152624,78.44,75.55,58.20
25-November-2025,4003.20,4054.65,3980.65,3995.80,4024.967569224963441671,42398,5290,170650575.00,24629,58.09,74.00,-7.40
24-November-2025,4023.50,4039.60,4004.00,4013.30,4017.782636924361174233,21563,1954,86635447.00,10687,49.56,35.60,-10.20
21-November-2025,4025.00,4056.00,4016.45,4023.50,4032.140825709816561596,42194,4696,170132150.00,26513,62.84,39.55,-1.50
20-November-2025,4031.40,4048.25,4009.30,4037.70,4035.579843572045149453,304677,17337,1229548360.00,22709,7.45,38.95,6.30
19-November-2025,3998.95,4025.95,3982.45,4019.30,4007.011533532678342588,49161,7972,196988694.00,17877,36.36,43.50,20.35
18-November-2025,4022.00,4022.90,3977.40,3998.95,3999.377340750607224006,25526,3412,102088106.00,13766,53.93,45.50,-23.05
17-November-2025,4008.00,4030.00,4001.75,4028.10,4018.811622711966125429,29993,3969,120536217.00,18218,60.74,28.25,20.10
14-November-2025,4000.00,4010.10,3971.50,3995.30,3987.678442423466120148,39035,5720,155659028.00,21002,53.80,38.60,-4.70
13-November-2025,3953.40,4022.70,3927.10,4001.95,3994.680478381454702855,311885,27504,1245880921.00,21667,6.95,95.60,48.55
12-November-2025,3970.00,3973.45,3937.60,3953.35,3956.763174562959209526,47364,3622,187408131.00,9304,19.64,35.85,-16.65
11-November-2025,3921.50,3966.30,3896.50,3953.35,3935.027168886422493525,43248,5818,170182055.00,23534,54.42,69.80,31.85
10-November-2025,3885.25,3943.00,3885.25,3919.05,3927.752076007156517983,81045,5364,318324667.00,50948,62.86,57.75,33.80
7-November-2025,3880.80,3892.70,3831.75,3881.65,3869.191299302542034836,82729,7954,320094327.00,46380,56.06,60.95,0.85
6-November-2025,3940.00,3975.00,3871.10,3880.80,3888.315699703860874753,415683,18718,1616306735.00,48082,11.57,103.90,-59.20
4-November-2025,3985.00,3990.35,3917.85,3921.20,3937.259364409178779128,123633,8831,486775187.00,101453,82.06,72.50,-63.80
3-November-2025,4025.20,4039.80,3975.00,3980.10,4004.096897312358506994,68908,11114,275914309.00,45461,65.97,64.80,-45.10
31-October-2025,3998.70,4045.05,3982.90,4031.20,4023.300705060622034791,91056,12119,366345669.00,44298,48.65,62.15,32.50
30-October-2025,3994.00,4062.50,3976.70,3987.80,4028.067141519608424096,843770,34753,3398762212.00,491918,58.30,85.80,-6.20
29-October-2025,3993.90,4016.90,3920.00,3951.70,3965.390795592075928403,156990,18339,622526701.00,86871,55.34,96.90,-42.20
28-October-2025,3918.15,3985.00,3918.15,3972.85,3944.576460651980329815,326789,17505,1289044197.00,286604,87.70,66.85,54.70
27-October-2025,3907.05,3947.25,3907.05,3924.70,3929.708950952333958353,50665,6839,199098704.00,22650,44.71,40.20,17.65
24-October-2025,3925.35,3939.90,3897.95,3904.35,3915.325794013594625750,25157,5924,98497851.00,7537,29.96,41.95,-21.00
23-October-2025,3898.95,3966.20,3889.30,3918.00,3925.084580314139118752,279876,24702,1098536972.00,32861,11.74,76.90,19.05
21-October-2025,3873.75,3893.50,3873.75,3887.10,3887.615806835388276011,36984,5377,143779583.00,18180,49.16,19.75,13.35
20-October-2025,3860.00,3886.15,3845.05,3873.70,3872.125701185308033754,41002,6201,158764898.00,17060,41.61,41.10,13.70
17-October-2025,3853.40,3868.75,3830.10,3839.10,3847.138735531621765670,99441,15101,382563323.00,51422,51.71,38.65,-14.30
16-October-2025,3837.85,3885.45,3831.00,3861.90,3859.586020077044234017,316182,23326,1220331627.00,50191,15.87,54.45,24.05
15-October-2025,3748.00,3842.95,3744.60,3824.65,3816.077168605126992643,219934,19243,839285116.00,131472,59.78,98.35,76.65
14-October-2025,3750.05,3788.80,3731.00,3741.30,3752.507568562845236941,103190,13682,387221256.00,81028,78.52,57.80,-8.75
13-October-2025,3782.95,3783.30,3746.75,3770.35,3763.697233804754330911,93052,9480,350219555.00,58275,62.63,36.55,-12.60
10-October-2025,3768.80,3798.50,3760.50,3783.30,3785.620959616589058628,73446,7899,278038717.00,42281,57.57,38.00,14.50
9-October-2025,3730.00,3795.00,3730.00,3769.35,3768.996462421365610767,322537,14456,1215640812.00,40253,12.48,65.00,39.35
8-October-2025,3728.50,3759.75,3714.15,3728.00,3736.198840152510332895,93633,8365,349831506.00,61319,65.49,45.60,-0.50
7-October-2025,3764.45,3765.00,3725.70,3730.70,3740.269786672531339344,113675,6282,425175168.00,86304,75.92,39.30,-33.75
6-October-2025,3731.35,3767.45,3703.05,3736.20,3744.585404057171557235,117471,7945,439880192.00,85683,72.94,64.40,4.85
3-October-2025,3685.00,3744.85,3667.30,3732.35,3698.615238048708991865,81874,7380,302820424.00,58069,70.92,77.55,47.35
1-October-2025,3646.20,3681.00,3614.80,3670.15,3660.245609556227937468,634560,21802,2322645454.00,308425,48.60,66.20,23.95
30-September-2025,3704.30,3704.30,3649.00,3658.80,3658.825020715150742558,62756,8277,229613223.00,44753,71.31,55.30,-45.50
29-September-2025,3748.95,3748.95,3678.65,3687.60,3698.394038339133525662,120973,8644,447405822.00,69095,57.12,70.30,-61.35
26-September-2025,3653.05,3794.70,3653.05,3731.10,3743.880146696635166627,241587,18366,904472773.00,103078,42.67,141.65,78.05
25-September-2025,3681.00,3703.85,3634.20,3644.20,3652.866640542577241899,331750,25855,1211838508.00,49907,15.04,69.65,-36.80
24-September-2025,3661.85,3708.35,3636.85,3678.40,3685.438347957853190964,113508,19754,418326736.00,36924,32.53,71.50,16.55
23-September-2025,3640.05,3672.25,3615.00,3658.30,3646.234422741161065037,36656,6805,133656369.00,16614,45.32,57.25,18.25
22-September-2025,3678.15,3691.60,3633.00,3642.15,3652.989184424214684093,58989,7247,215486179.00,29603,50.18,58.60,-36.00
19-September-2025,3665.20,3704.90,3665.20,3675.85,3684.063211940033117366,89983,10918,331503060.00,65762,73.08,39.70,10.65
18-September-2025,3695.00,3701.40,3672.55,3687.00,3688.024373657005293112,386729,24392,1426265978.00,128132,33.13,28.85,-8.00
17-September-2025,3668.05,3704.00,3660.85,3685.10,3689.189428227633933752,163719,13822,603990404.00,88477,54.04,43.15,17.05
16-September-2025,3607.65,3675.00,3596.20,3667.15,3653.042577675489067894,104280,6299,380939280.00,72906,69.91,78.80,59.50
15-September-2025,3581.00,3607.40,3577.00,3585.35,3595.026064175194249759,44659,4273,160550269.00,34229,76.65,30.40,4.35
12-September-2025,3550.15,3595.00,3550.15,3579.60,3584.819458286271122627,45153,2768,161865353.00,32351,71.65,44.85,29.45
11-September-2025,3551.60,3565.35,3532.50,3539.20,3541.260592396984669899,414283,34819,1467084062.00,18971,4.58,32.85,-12.40
10-September-2025,3555.05,3577.65,3539.95,3553.25,3555.300735809390329362,114160,14432,405873132.00,13539,11.86,37.70,-1.80
9-September-2025,3567.70,3567.70,3503.40,3521.00,3532.305497224060063861,69526,3431,245587072.00,17306,24.89,64.30,-46.70
8-September-2025,3576.00,3578.40,3484.10,3517.75,3542.731546518792359827,97380,8825,344991198.00,26209,26.91,94.30,-58.25
5-September-2025,3580.30,3609.10,3550.00,3552.75,3571.204501563362148243,43496,4523,155333111.00,12779,29.38,59.10,-27.55
4-September-2025,3646.80,3646.80,3571.65,3592.50,3592.292997733024307862,394358,28733,1416649482.00,69292,17.57,75.15,-54.30
3-September-2025,3574.25,3606.35,3561.00,3600.25,3574.351547922525032193,152204,8471,544030603.00,112485,73.90,45.35,26.00
