Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-June-2026,1289.85,1326.6,1285.85,1314.6,1311.7038849383555,329632,11881,432379575.0,176181,53.45,40.75,24.75
9-June-2026,1279.95,1298.65,1271.3,1292.6,1285.73482355611,264390,14090,339935430.0,147629,55.84,27.35,12.65
8-June-2026,1256.8,1279.5,1256.8,1268.15,1271.980531119306,145617,6511,185221989.0,66924,45.96,22.7,11.35
5-June-2026,1260.0,1276.15,1252.5,1273.15,1264.774583749771,622342,4929,787122344.0,527968,84.84,23.65,13.15
4-June-2026,1246.0,1259.5,1244.7,1252.4,1251.558776681478,316418,19249,396015725.0,55164,17.43,14.8,6.4
3-June-2026,1246.3,1264.6,1231.0,1255.2,1245.858789238045,119049,7901,148318243.0,50502,42.42,33.6,8.9
2-June-2026,1273.5,1275.6,1245.3,1251.4,1255.439646747234,338681,6737,425193555.0,266234,78.61,30.3,-22.1
1-June-2026,1287.0,1292.45,1267.05,1275.35,1278.1613057553384,62707,3101,80149661.0,32663,52.09,25.4,-11.65
29-May-2026,1299.75,1312.25,1277.95,1287.9,1293.3438819428115,195634,5021,253022037.0,81361,41.59,34.3,-11.85
27-May-2026,1293.65,1315.0,1292.7,1303.4,1307.8389052917585,1804901,29906,2360519748.0,1049679,58.16,22.3,9.75
26-May-2026,1310.0,1316.65,1292.0,1299.45,1303.940982199173,114152,4237,148847471.0,51240,44.89,24.65,-10.55
25-May-2026,1304.3,1314.8,1294.55,1311.7,1304.2811622312624,158798,5015,207117240.0,81752,51.48,20.25,7.4
22-May-2026,1250.9,1288.6,1250.9,1285.25,1278.0556071763947,202330,7589,258588991.0,108867,53.81,37.7,34.35
21-May-2026,1264.8,1264.8,1244.7,1253.6,1255.3438237671417,870984,30503,1093384385.0,260325,29.89,20.1,-11.2
20-May-2026,1235.0,1254.4,1226.9,1249.55,1244.0004950086627,193936,9062,241256480.0,79714,41.1,27.5,14.55
19-May-2026,1232.3,1249.8,1231.95,1238.55,1240.4950047728876,168661,8681,209223128.0,77255,45.8,17.85,6.25
18-May-2026,1235.7,1242.3,1222.2,1238.4,1233.3008551597193,130385,7545,160803932.0,62447,47.89,20.1,2.7
15-May-2026,1272.0,1272.0,1242.3,1244.85,1251.2500950911244,92017,4519,115136280.0,35430,38.5,29.7,-27.15
14-May-2026,1255.75,1269.5,1236.0,1254.55,1246.1296491739542,8098401,40238,10091657597.0,6491499,80.16,33.5,-1.2
13-May-2026,1256.2,1275.3,1247.8,1255.75,1263.2528936562892,441051,15058,557158952.0,284120,64.42,27.5,-0.45
12-May-2026,1271.05,1273.45,1257.5,1260.75,1266.5289989442624,295528,6956,374294782.0,239600,81.08,15.95,-10.3
11-May-2026,1253.1,1282.95,1251.3,1271.05,1270.0833183213683,260903,12021,331368548.0,164148,62.92,31.65,17.95
8-May-2026,1279.8,1280.5,1264.35,1269.4,1270.23146514383,596781,9991,758050004.0,484751,81.23,16.15,-10.4
7-May-2026,1303.95,1308.45,1281.0,1292.35,1293.0845582175452,1243723,45221,1608239006.0,571046,45.91,27.45,-11.6
6-May-2026,1272.7,1301.0,1254.9,1296.1,1279.6074057707565,199142,9531,254823578.0,112053,56.27,46.1,23.4
5-May-2026,1270.0,1272.9,1252.7,1259.75,1264.1780051403528,526423,7937,665492378.0,399397,75.87,20.2,-10.25
4-May-2026,1273.6,1293.7,1264.8,1275.05,1280.429329203838,783308,6179,1002970537.0,711179,90.79,28.9,1.45
30-April-2026,1284.8,1284.85,1257.6,1267.7,1269.0478566713373,766518,29311,972748025.0,97433,12.71,27.25,-17.1
29-April-2026,1290.05,1309.5,1279.0,1295.4,1296.2026635541483,238178,12803,308726958.0,141183,59.28,30.5,5.35
28-April-2026,1319.7,1321.7,1286.0,1289.4,1295.0474195877791,520692,12737,674320831.0,367710,70.62,35.7,-30.3
27-April-2026,1325.0,1327.0,1301.0,1324.5,1313.8499032773207,319987,14241,420414889.0,151815,47.44,26.0,-0.5
24-April-2026,1368.6,1375.0,1350.3,1366.1,1360.7344400032628,73554,4733,100087461.0,37878,51.5,24.7,-2.5
23-April-2026,1374.05,1384.15,1366.0,1369.55,1372.5888446956428,870671,30950,1195073302.0,144727,16.62,18.15,-4.5
22-April-2026,1376.5,1390.8,1366.1,1379.55,1380.6907596801057,217947,6654,300917409.0,154801,71.03,24.7,3.05
21-April-2026,1364.65,1380.3,1359.4,1377.75,1374.7124959301452,525203,4148,722003127.0,464400,88.42,20.9,13.1
20-April-2026,1360.1,1374.0,1347.55,1353.65,1366.9108398429391,722778,18618,987973083.0,619477,85.71,26.45,-6.45
17-April-2026,1355.0,1363.4,1344.0,1359.15,1352.812625968185,120070,5492,162432212.0,41251,34.36,19.4,4.15
16-April-2026,1356.35,1364.45,1343.55,1349.9,1351.9166010716488,843560,29729,1140422768.0,49780,5.9,20.9,-6.45
15-April-2026,1356.3,1384.0,1348.55,1355.0,1357.1349907668268,337912,23379,458592199.0,170785,50.54,35.45,-1.3
13-April-2026,1320.0,1366.3,1315.35,1353.75,1342.6842222692608,174797,8160,234697174.0,84043,48.08,50.95,33.75
10-April-2026,1326.2,1358.7,1326.2,1351.45,1349.9543400116297,227004,6333,306445035.0,125197,55.15,32.5,25.25
9-April-2026,1323.95,1338.5,1313.15,1318.6,1320.802028164889,1065298,37139,1407047759.0,92793,8.71,25.35,-5.35
8-April-2026,1285.65,1335.35,1285.65,1332.8,1320.0108166148864,480557,22625,634340438.0,237249,49.37,49.7,47.15
7-April-2026,1235.35,1254.45,1221.0,1250.7,1236.8717865558233,151084,7949,186871537.0,90410,59.84,33.45,15.35
6-April-2026,1198.4,1249.5,1196.4,1245.35,1219.531342891348,342470,12755,417652899.0,176887,51.65,53.1,46.95
2-April-2026,1175.95,1202.8,1150.5,1198.15,1182.7800362710734,614815,26590,727190908.0,137526,22.37,52.3,22.2
1-April-2026,1181.2,1208.0,1180.0,1192.85,1194.709896183434,267780,16707,319919416.0,115037,42.96,28.0,11.65
30-March-2026,1185.1,1185.1,1153.55,1161.95,1164.0989162881683,738665,27083,859879126.0,392715,53.17,31.55,-23.15
27-March-2026,1199.95,1214.35,1199.9,1205.2,1208.2670750934517,427494,10685,516526925.0,289141,67.64,14.45,5.25
25-March-2026,1195.3,1238.95,1195.3,1222.45,1223.1441213291655,1152633,39404,1409836278.0,372205,32.29,43.65,27.15
24-March-2026,1188.95,1202.2,1169.7,1192.0,1181.941240964196,636634,16392,752463980.0,482747,75.83,32.5,3.05
23-March-2026,1180.35,1184.85,1165.6,1170.65,1176.814098541319,391998,24919,461308773.0,250272,63.85,19.25,-9.7
20-March-2026,1214.75,1231.25,1200.0,1204.25,1212.1669142002625,195933,10630,237503500.0,120478,61.49,31.25,-10.5
19-March-2026,1222.2,1240.35,1202.0,1206.65,1212.2428647876009,704499,30770,854023886.0,149471,21.22,38.35,-15.55
18-March-2026,1235.45,1260.0,1225.0,1252.9,1249.5366168267865,313203,20529,391358617.0,202582,64.68,35.0,17.45
17-March-2026,1222.0,1232.05,1210.0,1229.1,1221.5133380551435,314851,7868,384594696.0,107722,34.21,22.05,7.1
16-March-2026,1193.05,1219.85,1180.0,1214.75,1197.3696426918448,216060,10752,258703685.0,118898,55.03,39.85,21.7
13-March-2026,1229.2,1234.0,1194.5,1197.25,1207.9411401765421,322529,22443,389596048.0,170177,52.76,39.5,-31.95
12-March-2026,1247.9,1251.0,1231.3,1233.75,1240.0202784809862,958701,58751,1188808681.0,499727,52.13,19.7,-14.15
11-March-2026,1314.95,1316.9,1251.95,1259.05,1269.9077477391775,504573,25858,640761162.0,340337,67.45,64.95,-55.9
10-March-2026,1291.55,1319.75,1285.0,1315.05,1302.5293000459487,65290,3321,85042138.0,26213,40.15,34.75,23.5
9-March-2026,1280.15,1291.3,1260.25,1288.4,1273.0943783366563,155470,11321,197927983.0,73677,47.39,31.05,8.25
6-March-2026,1345.8,1345.8,1313.25,1315.9,1324.6168349625177,198361,9719,262752320.0,76805,38.72,32.55,-29.9
