Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2021,632.95,637.3,630.0,630.65,633.173020043359,248162,4836,157129483.0,41202,16.6,7.3,-2.3
2-July-2021,631.3,641.2,631.3,640.3,638.636098660799,368130,5105,235101107.0,129357,35.14,9.9,9.0
5-July-2021,642.95,648.3,641.25,647.65,645.01265926053,355471,11493,229283295.0,235798,66.33,7.05,4.7
6-July-2021,645.2,655.0,645.2,650.55,651.300751625644,266356,6102,173477863.0,100599,37.77,9.8,5.35
7-July-2021,649.05,654.5,645.95,653.65,651.943324507735,290443,9631,189352375.0,164797,56.74,8.55,4.6
8-July-2021,651.0,653.65,638.3,641.7,645.718484175566,358907,4621,231752884.0,51205,14.27,15.35,-9.3
9-July-2021,641.7,641.7,633.85,638.65,637.431749057139,197272,4175,125747436.0,53974,27.36,7.85,-3.05
12-July-2021,645.1,650.25,642.4,646.3,639.760651166055,2535943,12247,1622396545.0,2338624,92.22,7.85,1.2
13-July-2021,655.0,665.85,652.8,664.6,660.539251303797,1382884,32285,913449162.0,592159,42.82,13.05,9.6
14-July-2021,662.9,667.55,658.25,664.1,663.303158991522,253372,5106,168062448.0,51984,20.52,9.3,1.2
15-July-2021,661.55,669.5,661.1,667.3,666.758057364816,160133,3844,106769968.0,43075,26.9,8.4,5.75
16-July-2021,665.6,667.45,657.8,660.25,661.3494349526,186710,6291,123480553.0,93516,50.09,9.65,-5.35
19-July-2021,642.2,656.95,642.2,656.05,659.684056418201,2417305,10788,1594657568.0,2264276,93.67,14.75,13.85
20-July-2021,650.0,651.25,639.4,642.0,645.246020211863,357117,10332,230428323.0,126149,35.32,11.85,-8.0
22-July-2021,652.0,660.1,649.2,655.8,655.116220913426,287117,8800,188095004.0,127907,44.55,10.9,3.8
23-July-2021,656.5,677.75,650.85,676.65,668.06739276862,524077,11703,350118755.0,148232,28.28,26.9,20.15
26-July-2021,681.0,687.8,663.9,676.75,677.83984362158,730024,16919,494839354.0,158713,21.74,23.9,-4.25
27-July-2021,681.0,685.6,673.3,677.65,680.149256315122,213733,5163,145370341.0,64889,30.36,12.3,-3.35
28-July-2021,678.65,687.25,670.3,685.3,676.089108700381,611433,11923,413383192.0,266183,43.53,16.95,6.65
29-July-2021,693.0,693.0,683.15,687.4,687.908853102077,435418,13711,299527897.0,148663,34.14,9.85,-5.6
30-July-2021,688.45,688.45,678.1,682.7,682.237499604597,221293,4817,150974383.0,97574,44.09,10.35,-5.75
2-August-2021,682.7,688.0,677.7,681.55,683.506340031625,299131,7966,204457935.0,118322,39.56,10.3,-1.15
3-August-2021,681.55,691.8,676.85,690.05,684.188718948463,368299,8737,251986021.0,196874,53.45,14.95,8.5
4-August-2021,694.0,717.3,693.2,714.75,709.974776283908,869182,15690,617097296.0,205360,23.63,24.1,20.75
5-August-2021,715.2,716.75,699.55,702.1,706.309008956451,394241,11084,278455970.0,136416,34.6,17.2,-13.1
6-August-2021,703.0,706.1,695.8,697.4,699.561630569289,167279,3829,117021970.0,48282,28.86,10.3,-5.6
9-August-2021,697.2,706.05,694.65,702.75,700.922635156257,223926,5569,156954802.0,63622,28.41,11.4,5.55
10-August-2021,705.0,708.3,697.45,701.0,703.031146763158,225513,5032,158542663.0,71875,31.87,10.85,-4.0
11-August-2021,704.0,706.95,689.6,693.45,694.348944009826,337077,9201,234049059.0,168333,49.94,17.35,-10.55
12-August-2021,694.7,703.0,692.95,701.5,699.163559453931,179904,3592,125782321.0,73667,40.95,10.05,6.8
13-August-2021,705.5,709.9,701.15,704.8,705.001129323228,413522,8376,291533477.0,233998,56.59,8.75,-0.7
