Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-June-2026,1222.95,1247.60,1213.90,1242.35,1223.219969709033996237,474729,12653,580697993.00,354780,74.73,33.70,19.40
2-June-2026,1233.95,1237.55,1220.85,1226.35,1228.657895844599079743,308827,12233,379442732.00,136776,44.29,16.70,-7.60
1-June-2026,1260.90,1262.10,1236.25,1239.50,1249.448462613556953179,97308,4949,121581331.00,54330,55.83,25.85,-21.40
29-May-2026,1273.20,1287.70,1248.75,1256.00,1271.548243621235570574,281716,10405,358215485.00,143775,51.04,38.95,-17.20
27-May-2026,1285.25,1293.85,1267.00,1272.80,1279.721583389134063097,1400818,37126,1792657029.00,196540,14.03,26.85,-12.45
26-May-2026,1291.90,1301.80,1277.10,1279.15,1290.156081560391189149,164933,6292,212789313.00,63365,38.42,24.70,-12.75
25-May-2026,1274.90,1293.00,1271.20,1291.60,1281.608444849194065909,423856,14267,543217429.00,251622,59.36,21.80,16.70
22-May-2026,1242.90,1270.50,1242.90,1264.90,1263.271165129924559932,429480,13010,542549700.00,231730,53.96,27.60,22.00
21-May-2026,1243.25,1248.35,1234.05,1242.90,1243.164803543260731782,1197541,27306,1488740822.00,196193,16.38,14.30,-0.35
20-May-2026,1227.10,1238.95,1223.10,1237.50,1231.953129739035340655,468186,17806,576783208.00,222248,47.47,15.85,10.40
19-May-2026,1252.90,1255.80,1229.65,1240.95,1240.474992561372092451,732662,7754,908848889.00,632168,86.28,26.15,-11.95
18-May-2026,1235.00,1254.00,1233.00,1250.95,1241.053597796502436559,306785,10438,380736628.00,189227,61.68,21.00,15.95
15-May-2026,1245.00,1257.00,1242.20,1244.70,1248.462373639283379598,211102,8889,263552904.00,105723,50.08,14.80,-0.30
14-May-2026,1238.10,1256.50,1236.40,1246.45,1248.333627795001864225,1590473,37670,1985440930.00,297058,18.68,20.10,8.35
